index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Epsilon,Zeta
5352,15964364,37,159625,Absent,38,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,27,5,Unicorn_Absent,-1,-1.0,0,416,0.96875,29.0,1.0,36.0,0.0,0.484375,RS,0.96875,1.0,0.0,5,RS,0.5,0
5356,15964364,39,159625,Absent,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,480,1.0,6.0,0.12903225806451613,13.0,0.0,0.203125,RS,0.96875,1.0,0.0,5,RS,0.5,0
5366,15964364,44,159625,Absent,18,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,27,5,Unicorn_Absent,-1,-1.0,0,519,0.96875,16.0,0.047619047619047616,35.0,0.0,0.46875,RS,1.0,0.12903225806451613,0.0,0,RS,0.5,0
5368,15964364,45,159625,Absent,18,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,27,5,Unicorn_Absent,-1,-1.0,0,546,0.96875,16.0,1.0,35.0,0.0,0.46875,RS,0.96875,0.047619047619047616,0.0,5,RS,0.5,0
5376,15964364,49,159625,Absent,24,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,23,9,Unicorn_Absent,-1,-1.0,0,459,0.94375,18.0,0.13333333333333333,39.0,0.0,0.46875,RS,0.96875,1.0,0.0,5,RS,0.5,0
5378,15964364,50,159625,Absent,24,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,23,9,Unicorn_Absent,-1,-1.0,0,482,0.94375,18.0,1.0,39.0,0.0,0.46875,RS,0.94375,0.13333333333333333,0.0,9,RS,0.5,0
5380,15964364,51,159625,Absent,24,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,23,9,Unicorn_Absent,-1,-1.0,0,505,0.94375,18.0,1.0,39.0,0.0,0.46875,RS,0.94375,1.0,0.0,9,RS,0.5,0
5384,15964364,53,159625,Absent,24,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,23,9,Unicorn_Absent,-1,-1.0,0,455,0.94375,18.0,1.0,39.0,0.0,0.46875,RS,0.94375,1.0,0.0,9,RS,0.5,0
5386,15964364,54,159625,Absent,24,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,23,9,Unicorn_Absent,-1,-1.0,0,478,0.94375,18.0,1.0,39.0,0.0,0.46875,RS,0.94375,1.0,0.0,9,RS,0.5,0
5388,15964364,55,159625,Absent,24,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,23,9,Unicorn_Absent,-1,-1.0,0,501,0.94375,18.0,1.0,39.0,0.0,0.46875,RS,0.94375,1.0,0.0,9,RS,0.5,0
