index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Alpha
3301,26554897,31,489700,Absent,39,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,27,5,Unicorn_Absent,-1,-1,9,79,0.96875,29.0,1.0,34.0,0.08176100628930821,0.453125,,0.96875,1.0,0.6666666666666667,5,,0.025,70
3303,26554897,32,489700,Absent,39,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,27,5,Unicorn_Absent,-1,-1,9,106,0.96875,29.0,1.0,34.0,0.08176100628930821,0.453125,,0.96875,1.0,0.08176100628930821,5,,0.025,70
3305,26554897,33,489700,Absent,39,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,12,20,Unicorn_Absent,-1,-1,9,118,0.875,29.0,1.0,41.0,0.8,0.328125,,0.96875,1.0,0.08176100628930821,5,,0.025,70
3309,26554897,35,489700,Absent,39,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,9,86,1.0,29.0,1.0,30.0,0.8,0.46875,,0.875,1.0,0.8,20,,0.025,70
3315,26554897,38,489700,Absent,62,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,12,20,Unicorn_Absent,-1,-1,9,59,0.875,39.0,0.3076923076923077,55.0,0.0,0.546875,,1.0,1.0,0.8,0,,0.025,70
3321,26554897,41,489700,Absent,52,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,14,18,Unicorn_Absent,-1,-1,9,131,0.8875,40.0,0.4107142857142857,50.0,0.0,0.5,,0.875,0.3076923076923077,0.0,20,,0.025,70
3325,26554897,43,489700,Absent,52,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,14,18,Unicorn_Absent,-1,-1,9,161,0.8875,40.0,1.0,50.0,0.010106382978723405,0.5,,0.8875,0.4107142857142857,0.0,18,,0.025,70
3329,26554897,45,489700,Absent,52,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,14,18,Unicorn_Absent,-1,-1,9,191,0.8875,40.0,1.0,54.0,0.010106382978723405,0.5625,,0.8875,1.0,0.010106382978723405,18,,0.025,70
3335,26554897,48,489700,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,18,14,Unicorn_Absent,-1,-1,8,146,0.9125,28.0,0.3333333333333333,57.0,0.90625,0.671875,OUT,0.8875,1.0,0.010106382978723405,18,,0.025,70
3337,26554897,49,489700,Absent,15,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,26,6,Unicorn_Absent,-1,-1,9,172,0.9625,14.0,0.2,51.0,0.90625,0.703125,,0.9125,0.3333333333333333,0.90625,14,OUT,0.025,70
