index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Gamma
948,73675253,55,73678,Absent,37,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,15,17,Unicorn_Absent,-1,-1,0,380,0.89375,30.0,1.0,41.0,0.607843137254902,0.375,RS,0.89375,0.35714285714285715,0.607843137254902,17,RS,0.025,0.99
952,73675253,57,73678,Absent,37,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,14,18,Unicorn_Absent,-1,-1,0,420,0.8875,30.0,1.0,50.0,0.039867109634551534,0.5,RS,0.89375,1.0,0.607843137254902,17,RS,0.025,0.99
954,73675253,58,73678,Absent,37,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,14,18,Unicorn_Absent,-1,-1,0,434,0.8875,30.0,1.0,50.0,0.039867109634551534,0.5,RS,0.8875,1.0,0.039867109634551534,18,RS,0.025,0.99
958,73675253,60,73678,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,19,13,Unicorn_Absent,-1,-1,6,473,0.91875,32.0,0.3191489361702128,42.0,0.0,0.453125,RIGHT,0.8875,1.0,0.039867109634551534,18,RS,0.025,0.99
841,73675253,1,525366,Absent,36,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,21,11,Unicorn_Absent,-1,-1,9,21,0.93125,32.0,1.0,45.0,0.0,0.53125,,,,,,,0.025,0.99
845,73675253,3,525366,Absent,36,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,21,11,Unicorn_Absent,-1,-1,9,71,0.93125,32.0,1.0,45.0,0.0,0.53125,,0.93125,1.0,0.0,11,,0.025,0.99
849,73675253,5,525366,Absent,36,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,25,7,Unicorn_Absent,-1,-1,9,32,0.95625,32.0,1.0,38.0,0.0,0.484375,,0.93125,1.0,0.0,11,,0.025,0.99
851,73675253,6,525366,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,1,Unicorn_Absent,-1,-1,3,63,0.99375,32.0,0.28,44.0,0.0,0.671875,DOWN,0.95625,1.0,0.0,7,,0.025,0.99
853,73675253,7,525366,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,18,Unicorn_Absent,-1,-1,3,77,0.8875,32.0,1.0,49.0,0.0,0.484375,DOWN,0.99375,0.28,0.0,1,DOWN,0.025,0.99
857,73675253,9,525366,Absent,49,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,31,1,Unicorn_Absent,-1,-1,9,140,0.99375,37.0,0.35294117647058826,39.0,0.06799259944495839,0.59375,,0.8875,1.0,0.0,18,DOWN,0.025,0.99
861,73675253,11,525366,Absent,57,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,29,3,Unicorn_Absent,-1,-1,9,102,0.98125,34.0,0.3148148148148148,34.0,0.06799259944495839,0.484375,,0.99375,0.35294117647058826,0.06799259944495839,1,,0.025,0.99
