"Dyad","Player","Region","RegionGo","RJcode","Score"
30444416,"441635","IN","RS","lorsuvBCEKLQUZ02",16
30444416,"441635","RS","RS","elmozEHKOV7;",20
30444416,"441635","RS","RS","",32
30444416,"441635","RS",NA,"abhyVW5789;",21
30512002,"200296","DOWN","RS","GNOVW3456789;:",18
30512002,"200296","RS","RS","hnuvEKNS028:",20
30512002,"200296","RS","DOWN","jnorstuvBIJLMPQSY012",12
30512002,"200296","DOWN","LEFT","KLMNSTUV012389;:",16
30512002,"200296","LEFT","UP","abktzAGOQRXYZ4",18
30512002,"200296","UP","RS","jklmnorstuvwzABCDE",14
30512002,"200296","RS","RS","lm",30
30512002,"200296","RS","RS","lm",30
30512002,"200296","RS","RS","lm",30
30512002,"200296","RS","RS","lm",30
30512002,"200296","RS","RS","lm",30
30512002,"200296","RS","DOWN","lm",30
30512002,"200296","DOWN","RS","HIJKLMPQRSTUXYZ012",14
30512002,"200296","RS",NA,"",32
30512002,"305198","OUT","RIGHT","GNOVW3456789;:",18
30512002,"305198","RIGHT","IN","hnuvEKNS028:",20
30512002,"305198","IN","RIGHT","jnorstuvBIJLMPQSY012",12
30512002,"305198","RIGHT","RS","KLMNSTUV012389;:",16
30512002,"305198","RS","IN","abktzAGOQRXYZ4",18
30512002,"305198","IN","RS","jklmnorstuvwzABCDE",14
30512002,"305198","RS","RS","lm",30
30512002,"305198","RS","RS","lm",30
30512002,"305198","RS","RS","lm",30
30512002,"305198","RS","RS","lm",30
30512002,"305198","RS","RS","lm",30
30512002,"305198","RS","IN","lm",30
30512002,"305198","IN","RS","HIJKLMPQRSTUXYZ012",14
30512002,"305198","RS",NA,"",32
41178398,"411778","RS","RS","NSTV2",27
41178398,"411778","RS","RS","abcefjmnovwzBEJPTUX01",11
41178398,"411778","RS","RS","h",31
41178398,"411778","RS","RS","h",31
41178398,"411778","RS","RS","h",31
41178398,"411778","RS","RS","h",31
41178398,"411778","RS","RS","h",31
41178398,"411778","RS","RS","h",31
41178398,"411778","RS","RS","h",31
41178398,"411778","RS","RS","bjmstuvxzBHJKLQWYZ69:",11
41178398,"411778","RS",NA,"cijptvwNSX4",21
41178398,"839875","RIGHT","RS","NSTV2",27
41178398,"839875","RS","RIGHT","abcefjmnovwzBEJPTUX01",11
41178398,"839875","RIGHT","RIGHT","h",31
41178398,"839875","RIGHT","RIGHT","h",31
41178398,"839875","RIGHT","RIGHT","h",31
41178398,"839875","RIGHT","RIGHT","h",31
41178398,"839875","RIGHT","RIGHT","h",31
41178398,"839875","RIGHT","RIGHT","h",31
41178398,"839875","RIGHT","RS","h",31
41178398,"839875","RS","RS","bjmstuvxzBHJKLQWYZ69:",11
41178398,"839875","RS",NA,"cijptvwNSX4",21
41503271,"327176","RS","RS","v",31
41503271,"327176","RS","RS","v",31
41503271,"327176","RS","RS","v",31
41503271,"327176","RS","RS","v",31
41503271,"327176","RS","RS","v",31
41503271,"327176","RS","RS","v",31
41503271,"327176","RS","RS","v",31
41503271,"327176","RS","RS","v",31
41503271,"327176","RS","RS","v",31
41503271,"327176","RS","RS","v",31
41503271,"327176","RS","RS","v",31
41503271,"327176","RS",NA,"v",31
